id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CDK2__IGF1R	32	4.0322e-16	4.9915e-06	4e-05	1	30	-0.70063	1.0	1.0	0.999995	104	0	-0.70063
ETF1__WNT5A	32	2.4294e-13	4.9915e-06	4e-05	2	21	-0.81154	0.5036	0.8648	0.999995	55	7	-0.81154
CDK2__ETF1	32	1.1127e-12	4.9915e-06	4e-05	3	29	-1.1849	1.0	1.0	0.999995	105	0	-1.1849
ETF1__IGF1R	32	1.5786e-10	4.9915e-06	4e-05	4	27	-1.1735	0.99986	0.99998	0.999995	93	3	-1.1735
ETF1__MAPK13	32	4.1619e-10	4.9915e-06	4e-05	5	25	-0.7492	0.9808	0.99877	0.999995	82	4	-0.7492
CDK2__CDK2	16	2.1792e-09	4.9915e-06	4e-05	6	16	-0.63865	1.0	1.0	0.999995	102	0	-0.63865
CDK2__HSP90B1	32	4.7591e-09	4.9915e-06	4e-05	7	26	-0.46603	0.99998	0.99999	0.999995	98	1	-0.46603
ETF1__ETF1	16	1.251e-08	4.9915e-06	4e-05	8	15	-1.7703	0.99969	0.99974	0.999995	92	0	-1.7703
CTNNB1__ETF1	32	1.3729e-08	4.9915e-06	4e-05	9	23	-0.72368	0.0040851	0.034377	0.112798	31	5	-0.72368
ETF1__ULK1	32	1.7831e-08	4.9915e-06	4e-05	10	23	-0.99313	0.99788	0.99984	0.999995	88	1	-0.99313
ETF1__HSP90B1	32	2.0523e-08	4.9915e-06	4e-05	11	24	-0.99192	0.99999	1.0	0.999995	100	1	-0.99192
ETF1__EZH2	32	2.5438e-08	4.9915e-06	4e-05	12	24	-0.78345	0.99021	0.99946	0.999995	84	3	-0.78345
IGF1R__ULK1	32	4.2858e-08	4.9915e-06	4e-05	13	25	-0.34199	0.99997	0.99999	0.999995	97	2	-0.34199
ETF1__TRIB2	32	1.5471e-07	1.4975e-05	0.000112	14	22	-0.77107	0.64812	0.93037	0.999995	60	5	-0.77107
IGF1R__IGF1R	16	1.5372e-06	2.4958e-05	0.000175	15	14	-0.49715	0.99996	0.99997	0.999995	96	0	-0.49715
CDK2__ULK1	32	2.9239e-06	8.4856e-05	0.000524	16	24	-0.30481	1.0	1.0	0.999995	103	0	-0.30481
0Safe_safe_ACOC__ETF1	24	4.881e-06	6.489e-05	0.000426	17	16	-0.70764	0.41655	0.78024	0.999995	53	6	-0.70764
0Safe_safe_MP__ETF1	24	8.4623e-06	0.00010482	0.000611	18	16	-0.79189	0.86282	0.97818	0.999995	72	4	-0.79189
CDK2__WNT5A	32	1.0813e-05	0.00020465	0.001127	19	22	-0.24787	0.9999	0.99998	0.999995	94	2	-0.24787
EZH2__IGF1R	32	1.2712e-05	0.00021464	0.001127	20	23	-0.20606	0.79419	0.97127	0.999995	67	1	-0.20606
