id	target_A	target_B	neg.lfc	neg.rank	neg.score	neg.p.value	neg.fdr	neg.goodsgrna	obs_lfc	exp_lfc	GI
CDK2__IGF1R	CDK2	IGF1R	-0.70063	1	4.0322e-16	4.9915e-06	4e-05	30	-0.961705	-0.8169765	-0.448572360548605
ETF1__WNT5A	ETF1	WNT5A	-0.81154	2	2.4294e-13	4.9915e-06	4e-05	21	-1.072615	-1.044425	-0.0873722511037235
CDK2__ETF1	CDK2	ETF1	-1.1849	3	1.1127e-12	4.9915e-06	4e-05	29	-1.445975	-1.459135	0.0407881810757361
ETF1__IGF1R	ETF1	IGF1R	-1.1735	4	1.5786e-10	4.9915e-06	4e-05	27	-1.434575	-1.3288315	-0.327742023220523
ETF1__MAPK13	ETF1	MAPK13	-0.7492	5	4.1619e-10	4.9915e-06	4e-05	25	-1.010275	-1.03215	0.0677995031179124
CDK2__HSP90B1	CDK2	HSP90B1	-0.46603	7	4.7591e-09	4.9915e-06	4e-05	26	-0.727105	-0.75176565	0.0764333630429597
CTNNB1__ETF1	CTNNB1	ETF1	-0.72368	9	1.3729e-08	4.9915e-06	4e-05	23	-0.984755	-0.91134	-0.227542880978355
ETF1__ULK1	ETF1	ULK1	-0.99313	10	1.7831e-08	4.9915e-06	4e-05	23	-1.254205	-1.1684075	-0.265921274000414
ETF1__HSP90B1	ETF1	HSP90B1	-0.99192	11	2.0523e-08	4.9915e-06	4e-05	24	-1.252995	-1.26362065	0.0329332018425069
ETF1__EZH2	ETF1	EZH2	-0.78345	12	2.5438e-08	4.9915e-06	4e-05	24	-1.044525	-0.96183	-0.256305367329634
IGF1R__ULK1	IGF1R	ULK1	-0.34199	13	4.2858e-08	4.9915e-06	4e-05	25	-0.603065	-0.526249	-0.238083960297396
ETF1__TRIB2	ETF1	TRIB2	-0.77107	14	1.5471e-07	1.4975e-05	0.000112	22	-1.032145	-0.95085	-0.251966199130088
CDK2__ULK1	CDK2	ULK1	-0.30481	16	2.9239e-06	8.4856e-05	0.000524	24	-0.565885	-0.6565525	0.281015380523122
CDK2__WNT5A	CDK2	WNT5A	-0.24787	19	1.0813e-05	0.00020465	0.001127	22	-0.508945	-0.53257	0.0732234633673451
EZH2__IGF1R	EZH2	IGF1R	-0.20606	20	1.2712e-05	0.00021464	0.001127	23	-0.467135	-0.3196715	-0.457049235567005
HSP90B1__IGF1R	HSP90B1	IGF1R	-0.40413	22	4.8433e-05	0.00078367	0.00374	21	-0.665205	-0.62146215	-0.135576845483948
CDK2__EZH2	CDK2	EZH2	-0.27878	23	6.9632e-05	0.00099331	0.004535	22	-0.539855	-0.449975	-0.278574598410877
CDK2__MAPK13	CDK2	MAPK13	-0.25091	24	0.00012757	0.0016722	0.007316	21	-0.511985	-0.520295	0.0257560626701643
IGF1R__MAPK13	IGF1R	MAPK13	-0.23684	25	0.00014864	0.0018519	0.007778	20	-0.497915	-0.3899915	-0.334498727988388
IGF1R__WNT5A	IGF1R	WNT5A	-0.21819	28	0.0027698	0.024254	0.090952	19	-0.479265	-0.4022665	-0.238649601866265
HSP90B1__ULK1	HSP90B1	ULK1	-0.19896	29	0.018025	0.11232	0.406691	17	-0.460035	-0.46103815	0.00310916898526801
CDK2__TRIB2	CDK2	TRIB2	-0.15035	33	0.084473	0.34111	0.999995	15	-0.411425	-0.438995	0.0854506194724953
HSP90B1__WNT5A	HSP90B1	WNT5A	-0.055192	36	0.30211	0.69916	0.999995	11	-0.316267	-0.33705565	0.0644324635653568
CDK2__CTNNB1	CDK2	CTNNB1	-0.094364	37	0.3653	0.75815	0.999995	10	-0.355439	-0.399485	0.136516430369442
CTNNB1__IGF1R	CTNNB1	IGF1R	-0.060916	38	0.37441	0.76622	0.999995	12	-0.321991	-0.2691815	-0.163678073595675
