sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_ACOC_204550.4522__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_ACOC	21	16	35	42
0Safe_safe_ACOC_204550.4522__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_ACOC	56	72	106	97
0Safe_safe_ACOC_204550.4522__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_ACOC	77	54	123	165
0Safe_safe_ACOC_204550.4522__0Safe_safe_GE_204550.1561	0Safe_safe_ACOC__0Safe_safe_GE	35	28	56	66
0Safe_safe_ACOC_204550.4522__0Safe_safe_GE_204550.1743	0Safe_safe_ACOC__0Safe_safe_GE	29	33	55	75
0Safe_safe_ACOC_204550.4522__0Safe_safe_GE_204550.1816	0Safe_safe_ACOC__0Safe_safe_GE	21	15	29	33
0Safe_safe_ACOC_204550.4522__0Safe_safe_MP_204550.1197	0Safe_safe_ACOC__0Safe_safe_MP	19	21	43	41
0Safe_safe_ACOC_204550.4522__0Safe_safe_MP_204550.1296	0Safe_safe_ACOC__0Safe_safe_MP	9	13	21	30
0Safe_safe_ACOC_204550.4522__0Safe_safe_MP_204550.1323	0Safe_safe_ACOC__0Safe_safe_MP	56	71	107	121
0Safe_safe_ACOC_204550.4522__0Safe_safe_U3_204550.6027	0Safe_safe_ACOC__0Safe_safe_U3	11	19	21	32
0Safe_safe_ACOC_204550.4522__CDK2_1	0Safe_safe_ACOC__CDK2	69	71	91	99
0Safe_safe_ACOC_204550.4522__CDK2_2	0Safe_safe_ACOC__CDK2	63	54	70	98
0Safe_safe_ACOC_204550.4522__CDK2_3	0Safe_safe_ACOC__CDK2	52	54	72	97
0Safe_safe_ACOC_204550.4522__CDK2_4	0Safe_safe_ACOC__CDK2	83	107	141	152
0Safe_safe_ACOC_204550.4522__CTNNB1_1	0Safe_safe_ACOC__CTNNB1	33	30	53	80
0Safe_safe_ACOC_204550.4522__CTNNB1_2	0Safe_safe_ACOC__CTNNB1	31	32	66	90
0Safe_safe_ACOC_204550.4522__CTNNB1_3	0Safe_safe_ACOC__CTNNB1	41	37	72	83
0Safe_safe_ACOC_204550.4522__CTNNB1_4	0Safe_safe_ACOC__CTNNB1	48	56	117	136
0Safe_safe_ACOC_204550.4522__ETF1_1	0Safe_safe_ACOC__ETF1	41	39	20	24
0Safe_safe_ACOC_204550.4522__ETF1_2	0Safe_safe_ACOC__ETF1	56	55	37	56
0Safe_safe_ACOC_204550.4522__ETF1_3	0Safe_safe_ACOC__ETF1	13	14	28	28
0Safe_safe_ACOC_204550.4522__ETF1_4	0Safe_safe_ACOC__ETF1	42	43	83	84
0Safe_safe_ACOC_204550.4522__EZH2_1	0Safe_safe_ACOC__EZH2	38	40	62	75
0Safe_safe_ACOC_204550.4522__EZH2_2	0Safe_safe_ACOC__EZH2	53	68	106	119
0Safe_safe_ACOC_204550.4522__EZH2_3	0Safe_safe_ACOC__EZH2	71	79	135	166
0Safe_safe_ACOC_204550.4522__EZH2_4	0Safe_safe_ACOC__EZH2	40	38	60	114
0Safe_safe_ACOC_204550.4522__HSP90B1_1	0Safe_safe_ACOC__HSP90B1	51	67	107	101
0Safe_safe_ACOC_204550.4522__HSP90B1_2	0Safe_safe_ACOC__HSP90B1	55	80	85	94
0Safe_safe_ACOC_204550.4522__HSP90B1_3	0Safe_safe_ACOC__HSP90B1	39	30	51	71
0Safe_safe_ACOC_204550.4522__HSP90B1_4	0Safe_safe_ACOC__HSP90B1	13	22	30	39
0Safe_safe_ACOC_204550.4522__IGF1R_1	0Safe_safe_ACOC__IGF1R	61	48	86	81
0Safe_safe_ACOC_204550.4522__IGF1R_2	0Safe_safe_ACOC__IGF1R	55	45	74	88
0Safe_safe_ACOC_204550.4522__IGF1R_3	0Safe_safe_ACOC__IGF1R	178	165	238	270
0Safe_safe_ACOC_204550.4522__IGF1R_4	0Safe_safe_ACOC__IGF1R	23	22	29	41
0Safe_safe_ACOC_204550.4522__MAPK13_1	0Safe_safe_ACOC__MAPK13	169	147	255	313
0Safe_safe_ACOC_204550.4522__MAPK13_2	0Safe_safe_ACOC__MAPK13	43	51	68	66
0Safe_safe_ACOC_204550.4522__MAPK13_3	0Safe_safe_ACOC__MAPK13	92	74	160	192
0Safe_safe_ACOC_204550.4522__MAPK13_4	0Safe_safe_ACOC__MAPK13	30	40	65	81
0Safe_safe_ACOC_204550.4522__TRIB2_1	0Safe_safe_ACOC__TRIB2	34	36	84	109
0Safe_safe_ACOC_204550.4522__TRIB2_2	0Safe_safe_ACOC__TRIB2	40	44	61	70
0Safe_safe_ACOC_204550.4522__TRIB2_3	0Safe_safe_ACOC__TRIB2	86	84	170	198
0Safe_safe_ACOC_204550.4522__TRIB2_4	0Safe_safe_ACOC__TRIB2	42	52	83	110
0Safe_safe_ACOC_204550.4522__ULK1_1	0Safe_safe_ACOC__ULK1	32	27	42	78
0Safe_safe_ACOC_204550.4522__ULK1_2	0Safe_safe_ACOC__ULK1	47	34	60	65
0Safe_safe_ACOC_204550.4522__ULK1_3	0Safe_safe_ACOC__ULK1	30	33	44	53
0Safe_safe_ACOC_204550.4522__ULK1_4	0Safe_safe_ACOC__ULK1	70	67	105	138
0Safe_safe_ACOC_204550.4522__WNT5A_1	0Safe_safe_ACOC__WNT5A	80	67	107	142
0Safe_safe_ACOC_204550.4522__WNT5A_2	0Safe_safe_ACOC__WNT5A	73	86	132	165
0Safe_safe_ACOC_204550.4522__WNT5A_3	0Safe_safe_ACOC__WNT5A	48	52	68	82
0Safe_safe_ACOC_204550.4522__WNT5A_4	0Safe_safe_ACOC__WNT5A	66	48	107	140
0Safe_safe_ACOC_204550.4525__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_ACOC	39	50	87	115
0Safe_safe_ACOC_204550.4525__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_ACOC	149	142	244	238
0Safe_safe_ACOC_204550.4525__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_ACOC	178	172	316	349
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1561	0Safe_safe_ACOC__0Safe_safe_GE	74	84	114	154
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1743	0Safe_safe_ACOC__0Safe_safe_GE	68	75	102	149
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1816	0Safe_safe_ACOC__0Safe_safe_GE	41	40	77	101
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1197	0Safe_safe_ACOC__0Safe_safe_MP	63	57	104	116
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1296	0Safe_safe_ACOC__0Safe_safe_MP	48	36	74	92
