construct_id	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_ACOC_204550.4522__0Safe_safe_ACOC_204550.4522	21	16	35	42
0Safe_safe_ACOC_204550.4522__0Safe_safe_ACOC_204550.4525	56	72	106	97
0Safe_safe_ACOC_204550.4522__0Safe_safe_ACOC_204550.4590	77	54	123	165
0Safe_safe_ACOC_204550.4522__0Safe_safe_GE_204550.1561	35	28	56	66
0Safe_safe_ACOC_204550.4522__0Safe_safe_GE_204550.1743	29	33	55	75
0Safe_safe_ACOC_204550.4522__0Safe_safe_GE_204550.1816	21	15	29	33
0Safe_safe_ACOC_204550.4522__0Safe_safe_MP_204550.1197	19	21	43	41
0Safe_safe_ACOC_204550.4522__0Safe_safe_MP_204550.1296	9	13	21	30
0Safe_safe_ACOC_204550.4522__0Safe_safe_MP_204550.1323	56	71	107	121
0Safe_safe_ACOC_204550.4522__0Safe_safe_U3_204550.6027	11	19	21	32
0Safe_safe_ACOC_204550.4522__CDK2_1	69	71	91	99
0Safe_safe_ACOC_204550.4522__CDK2_2	63	54	70	98
0Safe_safe_ACOC_204550.4522__CDK2_3	52	54	72	97
0Safe_safe_ACOC_204550.4522__CDK2_4	83	107	141	152
0Safe_safe_ACOC_204550.4522__CTNNB1_1	33	30	53	80
0Safe_safe_ACOC_204550.4522__CTNNB1_2	31	32	66	90
0Safe_safe_ACOC_204550.4522__CTNNB1_3	41	37	72	83
0Safe_safe_ACOC_204550.4522__CTNNB1_4	48	56	117	136
0Safe_safe_ACOC_204550.4522__ETF1_1	41	39	20	24
0Safe_safe_ACOC_204550.4522__ETF1_2	56	55	37	56
0Safe_safe_ACOC_204550.4522__ETF1_3	13	14	28	28
0Safe_safe_ACOC_204550.4522__ETF1_4	42	43	83	84
0Safe_safe_ACOC_204550.4522__EZH2_1	38	40	62	75
0Safe_safe_ACOC_204550.4522__EZH2_2	53	68	106	119
0Safe_safe_ACOC_204550.4522__EZH2_3	71	79	135	166
0Safe_safe_ACOC_204550.4522__EZH2_4	40	38	60	114
0Safe_safe_ACOC_204550.4522__HSP90B1_1	51	67	107	101
0Safe_safe_ACOC_204550.4522__HSP90B1_2	55	80	85	94
0Safe_safe_ACOC_204550.4522__HSP90B1_3	39	30	51	71
0Safe_safe_ACOC_204550.4522__HSP90B1_4	13	22	30	39
0Safe_safe_ACOC_204550.4522__IGF1R_1	61	48	86	81
0Safe_safe_ACOC_204550.4522__IGF1R_2	55	45	74	88
0Safe_safe_ACOC_204550.4522__IGF1R_3	178	165	238	270
0Safe_safe_ACOC_204550.4522__IGF1R_4	23	22	29	41
0Safe_safe_ACOC_204550.4522__MAPK13_1	169	147	255	313
0Safe_safe_ACOC_204550.4522__MAPK13_2	43	51	68	66
0Safe_safe_ACOC_204550.4522__MAPK13_3	92	74	160	192
0Safe_safe_ACOC_204550.4522__MAPK13_4	30	40	65	81
0Safe_safe_ACOC_204550.4522__TRIB2_1	34	36	84	109
0Safe_safe_ACOC_204550.4522__TRIB2_2	40	44	61	70
0Safe_safe_ACOC_204550.4522__TRIB2_3	86	84	170	198
0Safe_safe_ACOC_204550.4522__TRIB2_4	42	52	83	110
0Safe_safe_ACOC_204550.4522__ULK1_1	32	27	42	78
0Safe_safe_ACOC_204550.4522__ULK1_2	47	34	60	65
0Safe_safe_ACOC_204550.4522__ULK1_3	30	33	44	53
0Safe_safe_ACOC_204550.4522__ULK1_4	70	67	105	138
0Safe_safe_ACOC_204550.4522__WNT5A_1	80	67	107	142
0Safe_safe_ACOC_204550.4522__WNT5A_2	73	86	132	165
0Safe_safe_ACOC_204550.4522__WNT5A_3	48	52	68	82
0Safe_safe_ACOC_204550.4522__WNT5A_4	66	48	107	140
0Safe_safe_ACOC_204550.4525__0Safe_safe_ACOC_204550.4522	39	50	87	115
0Safe_safe_ACOC_204550.4525__0Safe_safe_ACOC_204550.4525	149	142	244	238
0Safe_safe_ACOC_204550.4525__0Safe_safe_ACOC_204550.4590	178	172	316	349
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1561	74	84	114	154
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1743	68	75	102	149
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1816	41	40	77	101
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1197	63	57	104	116
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1296	48	36	74	92
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1323	164	157	302	351
0Safe_safe_ACOC_204550.4525__0Safe_safe_U3_204550.6027	35	37	62	81
0Safe_safe_ACOC_204550.4525__CDK2_1	172	191	184	231
0Safe_safe_ACOC_204550.4525__CDK2_2	133	124	151	192
0Safe_safe_ACOC_204550.4525__CDK2_3	131	121	206	254
0Safe_safe_ACOC_204550.4525__CDK2_4	242	247	323	389
0Safe_safe_ACOC_204550.4525__CTNNB1_1	77	69	149	129
0Safe_safe_ACOC_204550.4525__CTNNB1_2	74	76	137	184
0Safe_safe_ACOC_204550.4525__CTNNB1_3	85	77	180	172
0Safe_safe_ACOC_204550.4525__CTNNB1_4	122	136	227	255
0Safe_safe_ACOC_204550.4525__ETF1_1	97	83	64	72
0Safe_safe_ACOC_204550.4525__ETF1_2	152	120	127	141
0Safe_safe_ACOC_204550.4525__ETF1_3	33	25	73	58
0Safe_safe_ACOC_204550.4525__ETF1_4	102	82	196	216
0Safe_safe_ACOC_204550.4525__EZH2_1	90	94	136	157
0Safe_safe_ACOC_204550.4525__EZH2_2	131	138	242	251
0Safe_safe_ACOC_204550.4525__EZH2_3	147	146	270	283
0Safe_safe_ACOC_204550.4525__EZH2_4	93	87	191	211
0Safe_safe_ACOC_204550.4525__HSP90B1_1	153	153	213	283
0Safe_safe_ACOC_204550.4525__HSP90B1_2	165	184	229	258
0Safe_safe_ACOC_204550.4525__HSP90B1_3	72	85	137	190
0Safe_safe_ACOC_204550.4525__HSP90B1_4	50	39	69	97
0Safe_safe_ACOC_204550.4525__IGF1R_1	115	105	150	160
0Safe_safe_ACOC_204550.4525__IGF1R_2	150	142	207	301
0Safe_safe_ACOC_204550.4525__IGF1R_3	325	383	418	498
0Safe_safe_ACOC_204550.4525__IGF1R_4	56	58	58	64
0Safe_safe_ACOC_204550.4525__MAPK13_1	367	374	587	708
0Safe_safe_ACOC_204550.4525__MAPK13_2	131	137	217	253
0Safe_safe_ACOC_204550.4525__MAPK13_3	182	209	364	420
0Safe_safe_ACOC_204550.4525__MAPK13_4	94	107	136	180
0Safe_safe_ACOC_204550.4525__TRIB2_1	116	121	231	271
0Safe_safe_ACOC_204550.4525__TRIB2_2	99	88	176	141
0Safe_safe_ACOC_204550.4525__TRIB2_3	191	204	334	415
0Safe_safe_ACOC_204550.4525__TRIB2_4	143	123	180	282
0Safe_safe_ACOC_204550.4525__ULK1_1	60	58	96	109
0Safe_safe_ACOC_204550.4525__ULK1_2	75	98	135	198
0Safe_safe_ACOC_204550.4525__ULK1_3	80	80	160	151
0Safe_safe_ACOC_204550.4525__ULK1_4	138	157	247	298
0Safe_safe_ACOC_204550.4525__WNT5A_1	194	180	255	311
0Safe_safe_ACOC_204550.4525__WNT5A_2	190	191	351	384
0Safe_safe_ACOC_204550.4525__WNT5A_3	137	135	213	258
0Safe_safe_ACOC_204550.4525__WNT5A_4	153	148	218	291
0Safe_safe_ACOC_204550.4590__0Safe_safe_ACOC_204550.4522	85	74	118	117
0Safe_safe_ACOC_204550.4590__0Safe_safe_ACOC_204550.4525	177	207	279	359
0Safe_safe_ACOC_204550.4590__0Safe_safe_ACOC_204550.4590	290	282	387	521
0Safe_safe_ACOC_204550.4590__0Safe_safe_GE_204550.1561	136	127	211	237
0Safe_safe_ACOC_204550.4590__0Safe_safe_GE_204550.1743	103	109	187	182
0Safe_safe_ACOC_204550.4590__0Safe_safe_GE_204550.1816	55	62	95	102
0Safe_safe_ACOC_204550.4590__0Safe_safe_MP_204550.1197	91	74	135	138
0Safe_safe_ACOC_204550.4590__0Safe_safe_MP_204550.1296	51	43	100	84
0Safe_safe_ACOC_204550.4590__0Safe_safe_MP_204550.1323	208	200	337	417
0Safe_safe_ACOC_204550.4590__0Safe_safe_U3_204550.6027	38	35	65	60
0Safe_safe_ACOC_204550.4590__CDK2_1	232	230	201	254
0Safe_safe_ACOC_204550.4590__CDK2_2	174	175	195	253
0Safe_safe_ACOC_204550.4590__CDK2_3	189	181	242	271
0Safe_safe_ACOC_204550.4590__CDK2_4	347	328	397	493
0Safe_safe_ACOC_204550.4590__CTNNB1_1	120	157	206	249
0Safe_safe_ACOC_204550.4590__CTNNB1_2	110	102	158	213
0Safe_safe_ACOC_204550.4590__CTNNB1_3	127	107	188	248
0Safe_safe_ACOC_204550.4590__CTNNB1_4	185	201	347	386
0Safe_safe_ACOC_204550.4590__ETF1_1	132	129	73	88
0Safe_safe_ACOC_204550.4590__ETF1_2	207	197	155	175
0Safe_safe_ACOC_204550.4590__ETF1_3	66	43	91	103
0Safe_safe_ACOC_204550.4590__ETF1_4	121	126	227	255
0Safe_safe_ACOC_204550.4590__EZH2_1	134	163	190	193
0Safe_safe_ACOC_204550.4590__EZH2_2	183	180	276	298
0Safe_safe_ACOC_204550.4590__EZH2_3	250	227	300	402
0Safe_safe_ACOC_204550.4590__EZH2_4	129	142	217	268
0Safe_safe_ACOC_204550.4590__HSP90B1_1	210	228	271	309
0Safe_safe_ACOC_204550.4590__HSP90B1_2	264	262	295	381
0Safe_safe_ACOC_204550.4590__HSP90B1_3	106	137	149	229
0Safe_safe_ACOC_204550.4590__HSP90B1_4	56	57	95	94
0Safe_safe_ACOC_204550.4590__IGF1R_1	165	168	195	224
0Safe_safe_ACOC_204550.4590__IGF1R_2	171	198	264	299
0Safe_safe_ACOC_204550.4590__IGF1R_3	537	569	595	692
0Safe_safe_ACOC_204550.4590__IGF1R_4	93	76	98	108
0Safe_safe_ACOC_204550.4590__MAPK13_1	536	588	783	966
0Safe_safe_ACOC_204550.4590__MAPK13_2	194	194	233	294
0Safe_safe_ACOC_204550.4590__MAPK13_3	283	269	452	539
0Safe_safe_ACOC_204550.4590__MAPK13_4	150	124	188	202
0Safe_safe_ACOC_204550.4590__TRIB2_1	182	139	232	281
0Safe_safe_ACOC_204550.4590__TRIB2_2	141	125	195	254
0Safe_safe_ACOC_204550.4590__TRIB2_3	258	245	423	514
0Safe_safe_ACOC_204550.4590__TRIB2_4	159	171	295	320
0Safe_safe_ACOC_204550.4590__ULK1_1	82	101	106	145
0Safe_safe_ACOC_204550.4590__ULK1_2	183	148	187	266
0Safe_safe_ACOC_204550.4590__ULK1_3	128	117	128	189
0Safe_safe_ACOC_204550.4590__ULK1_4	234	226	322	411
0Safe_safe_ACOC_204550.4590__WNT5A_1	263	249	326	434
0Safe_safe_ACOC_204550.4590__WNT5A_2	240	250	399	481
0Safe_safe_ACOC_204550.4590__WNT5A_3	164	171	243	296
0Safe_safe_ACOC_204550.4590__WNT5A_4	211	203	297	402
